date,farm_id,weight
2015-8-1,Farm 3,17142
2015-8-1,Farm 4,15098
2015-8-1,Farm 5,4611
2015-8-1,Farm 8,2815
2015-8-1,Farm 9,6529
2015-8-1,Farm 12,13577
2015-8-1,Farm 13,3855
2015-8-1,Farm 14,10556
2015-8-1,Farm 15,16056
2015-8-1,Farm 17,16340
2015-8-2,Farm 3,10671
2015-8-2,Farm 4,6959
2015-8-2,Farm 5,7810
2015-8-2,Farm 6,16875
2015-8-2,Farm 7,8865
2015-8-2,Farm 8,5183
2015-8-2,Farm 9,9165
2015-8-2,Farm 10,6340
2015-8-2,Farm 11,7896
2015-8-2,Farm 12,4059
2015-8-2,Farm 13,4575
2015-8-2,Farm 14,12787
2015-8-2,Farm 15,7635
2015-8-2,Farm 16,6182
2015-8-2,Farm 17,7922
2015-8-3,Farm 3,7789
2015-8-3,Farm 4,16938
2015-8-3,Farm 5,12375
2015-8-3,Farm 8,15174
2015-8-3,Farm 9,3343
2015-8-3,Farm 12,14727
2015-8-3,Farm 13,11421
2015-8-3,Farm 14,4719
2015-8-3,Farm 15,2028
2015-8-3,Farm 17,12282
2015-8-4,Farm 3,14510
2015-8-4,Farm 4,5416
2015-8-4,Farm 5,9419
2015-8-4,Farm 6,7562
2015-8-4,Farm 7,2209
2015-8-4,Farm 8,12078
2015-8-4,Farm 9,6901
2015-8-4,Farm 10,12564
2015-8-4,Farm 11,6912
2015-8-4,Farm 12,9519
2015-8-4,Farm 13,16604
2015-8-4,Farm 14,16517
2015-8-4,Farm 15,14334
2015-8-4,Farm 16,14224
2015-8-4,Farm 17,2313
2015-8-5,Farm 3,6627
2015-8-5,Farm 4,10392
2015-8-5,Farm 5,9216
2015-8-5,Farm 8,13251
2015-8-5,Farm 9,4361
2015-8-5,Farm 12,17671
2015-8-5,Farm 13,16266
2015-8-5,Farm 14,4578
2015-8-5,Farm 15,12006
2015-8-5,Farm 17,9575
2015-8-6,Farm 3,16813
2015-8-6,Farm 4,16662
2015-8-6,Farm 5,9895
2015-8-6,Farm 6,7629
2015-8-6,Farm 7,2613
2015-8-6,Farm 8,12900
2015-8-6,Farm 9,5012
2015-8-6,Farm 10,14134
2015-8-6,Farm 11,3056
2015-8-6,Farm 12,12967
2015-8-6,Farm 13,2870
2015-8-6,Farm 14,17229
2015-8-6,Farm 15,2646
2015-8-6,Farm 16,14940
2015-8-6,Farm 17,11150
2015-8-7,Farm 3,13073
2015-8-7,Farm 4,3885
2015-8-7,Farm 5,12317
2015-8-7,Farm 8,6800
2015-8-7,Farm 9,7875
2015-8-7,Farm 12,4661
2015-8-7,Farm 13,15504
2015-8-7,Farm 14,10172
2015-8-7,Farm 15,8586
2015-8-7,Farm 17,4836
2015-8-8,Farm 3,17366
2015-8-8,Farm 4,10686
2015-8-8,Farm 5,4743
2015-8-8,Farm 6,10984
2015-8-8,Farm 7,12544
2015-8-8,Farm 8,2049
2015-8-8,Farm 9,10139
2015-8-8,Farm 10,12848
2015-8-8,Farm 11,4409
2015-8-8,Farm 12,4977
2015-8-8,Farm 13,11488
2015-8-8,Farm 14,12220
2015-8-8,Farm 15,12354
2015-8-8,Farm 16,14957
2015-8-8,Farm 17,14430
2015-8-9,Farm 3,10711
2015-8-9,Farm 4,11149
2015-8-9,Farm 5,11213
2015-8-9,Farm 8,6467
2015-8-9,Farm 9,15489
2015-8-9,Farm 12,16828
2015-8-9,Farm 13,16387
2015-8-9,Farm 14,3292
2015-8-9,Farm 15,17750
2015-8-9,Farm 17,13978
2015-8-10,Farm 3,7369
2015-8-10,Farm 4,5646
2015-8-10,Farm 5,7848
2015-8-10,Farm 6,14469
2015-8-10,Farm 7,14551
2015-8-10,Farm 8,4992
2015-8-10,Farm 9,11356
2015-8-10,Farm 10,3527
2015-8-10,Farm 11,8704
2015-8-10,Farm 12,4833
2015-8-10,Farm 13,15590
2015-8-10,Farm 14,2516
2015-8-10,Farm 15,5508
2015-8-10,Farm 16,4023
2015-8-10,Farm 17,9295
2015-8-11,Farm 3,10831
2015-8-11,Farm 4,2562
2015-8-11,Farm 5,4548
2015-8-11,Farm 8,7119
2015-8-11,Farm 9,13645
2015-8-11,Farm 12,15667
2015-8-11,Farm 13,8464
2015-8-11,Farm 14,7572
2015-8-11,Farm 15,13040
