h,farm_id,weight
2016-1-1,Farm 18,2976
2016-1-1,Farm 19,9623
2016-1-1,Farm 20,16086
2016-1-1,Farm 21,15872
2016-1-1,Farm 22,4711
2016-1-1,Farm 23,5855
2016-1-1,Farm 25,9126
2016-1-1,Farm 26,14183
2016-1-1,Farm 27,13347
2016-1-1,Farm 28,3184
2016-1-1,Farm 30,2905
2016-1-1,Farm 31,10432
2016-1-1,Farm 32,17685
2016-1-1,Farm 33,11276
2016-1-1,Farm 34,15274
2016-1-1,Farm 35,12590
2016-1-1,Farm 37,13019
2016-1-1,Farm 38,14506
2016-1-1,Farm 39,10906
2016-1-1,Farm 40,2238
2016-1-1,Farm 41,8181
2016-1-1,Farm 42,11301
2016-1-1,Farm 43,17182
2016-1-1,Farm 45,4643
2016-1-1,Farm 46,17430
2016-1-1,Farm 47,3677
2016-1-1,Farm 48,2659
2016-1-1,Farm 50,5178
2016-1-1,Farm 51,12174
2016-1-1,Farm 52,4524
2016-1-1,Farm 53,5393
2016-1-1,Farm 54,2771
2016-1-1,Farm 55,17077
2016-1-1,Farm 57,11630
2016-1-1,Farm 58,16605
2016-1-1,Farm 59,16058
2016-1-1,Farm 60,14620
2016-1-1,Farm 61,5437
2016-1-1,Farm 62,17685
2016-1-1,Farm 63,3158
2016-1-1,Farm 64,8260
2016-1-1,Farm 65,6736
2016-1-1,Farm 67,15821
2016-1-1,Farm 68,14671
2016-1-1,Farm 69,15419
2016-1-1,Farm 70,3350
2016-1-1,Farm 71,3586
2016-1-1,Farm 72,12091
2016-1-1,Farm 73,12613
2016-1-1,Farm 74,6409
2016-1-1,Farm 75,5287
2016-1-1,Farm 76,2661
2016-1-1,Farm 77,13637
2016-1-1,Farm 78,11740
2016-1-1,Farm 80,10081
2016-1-1,Farm 81,2398
2016-1-1,Farm 82,6323
2016-1-1,Farm 83,14042
2016-1-1,Farm 84,14690
2016-1-1,Farm 85,5169
2016-1-1,Farm 86,10719
2016-1-1,Farm 89,17595
2016-1-1,Farm 90,13007
2016-1-1,Farm 91,17770
2016-1-1,Farm 92,17653
2016-1-1,Farm 93,15984
2016-1-1,Farm 94,6567
2016-1-1,Farm 97,9582
2016-1-1,Farm 98,15502
2016-1-1,Farm 99,6914
2016-1-1,Farm 100,17669
2016-1-1,Farm 101,6921
2016-1-1,Farm 102,3468
2016-1-1,Farm 103,8248
2016-1-1,Farm 104,3539
2016-1-1,Farm 106,5763
2016-1-1,Farm 107,2702
2016-1-1,Farm 109,13494
2016-1-1,Farm 110,16942
2016-1-1,Farm 111,11815
2016-1-1,Farm 112,14382
2016-1-1,Farm 115,15108
2016-1-1,Farm 116,14293
2016-1-1,Farm 117,7356
2016-1-2,Farm 18,8260
2016-1-2,Farm 19,8517
2016-1-2,Farm 20,2664
2016-1-2,Farm 21,7158
2016-1-2,Farm 22,15772
2016-1-2,Farm 23,11205
2016-1-2,Farm 24,14807
2016-1-2,Farm 25,8708
2016-1-2,Farm 26,17377
2016-1-2,Farm 27,5623
2016-1-2,Farm 28,6387
2016-1-2,Farm 29,16555
2016-1-2,Farm 30,5060
2016-1-2,Farm 31,4997
2016-1-2,Farm 32,10899
2016-1-2,Farm 33,16681
2016-1-2,Farm 34,12630
2016-1-2,Farm 35,14560
2016-1-2,Farm 36,12542
2016-1-2,Farm 37,16370
2016-1-2,Farm 38,4946
2016-1-2,Farm 39,8735
2016-1-2,Farm 40,13814
2016-1-2,Farm 41,6861
2016-1-2,Farm 42,4520
2016-1-2,Farm 43,9353
2016-1-2,Farm 44,5818
2016-1-2,Farm 45,5501
2016-1-2,Farm 46,9312
2016-1-2,Farm 47,16321
2016-1-2,Farm 48,13591
2016-1-2,Farm 49,5480
2016-1-2,Farm 50,5167
2016-1-2,Farm 51,15270
2016-1-2,Farm 52,10045
2016-1-2,Farm 53,10901
2016-1-2,Farm 54,15675
2016-1-2,Farm 55,15488
2016-1-2,Farm 56,14122
2016-1-2,Farm 57,14536
2016-1-2,Farm 58,9671
2016-1-2,Farm 59,9035
2016-1-2,Farm 60,17488
2016-1-2,Farm 61,17680
2016-1-2,Farm 62,6650
2016-1-2,Farm 63,5956
2016-1-2,Farm 64,8721
2016-1-2,Farm 65,6430
2016-1-2,Farm 66,12144
2016-1-2,Farm 67,14345
2016-1-2,Farm 68,12538
2016-1-2,Farm 69,12691
2016-1-2,Farm 70,16144
2016-1-2,Farm 71,5199
2016-1-2,Farm 72,14345
2016-1-2,Farm 73,8584
2016-1-2,Farm 74,9944
2016-1-2,Farm 75,10316
2016-1-2,Farm 76,5522
2016-1-2,Farm 77,6634
2016-1-2,Farm 78,2585
2016-1-2,Farm 79,7331
2016-1-2,Farm 80,2722
2016-1-2,Farm 81,13394
2016-1-2,Farm 82,7457
2016-1-2,Farm 83,12713
2016-1-2,Farm 84,7137
2016-1-2,Farm 85,6641
2016-1-2,Farm 86,3332
2016-1-2,Farm 87,3952
2016-1-2,Farm 88,4717
2016-1-2,Farm 89,11315
2016-1-2,Farm 90,11735
2016-1-2,Farm 91,14269
