date,farm_id,weight
2016-4-1,Farm 0,8250
2016-4-1,Farm 1,3761
2016-4-1,Farm 2,6272
2016-4-2,Farm 0,6667
2016-4-2,Farm 1,5307
2016-4-2,Farm 2,4997
2016-4-3,Farm 0,5179
2016-4-3,Farm 1,8368
2016-4-3,Farm 2,5517
2016-4-4,Farm 0,6041
2016-4-4,Farm 1,6254
2016-4-4,Farm 2,8066
2016-4-5,Farm 0,3087
2016-4-5,Farm 1,6349
2016-4-5,Farm 2,8122
2016-4-6,Farm 0,4875
2016-4-6,Farm 1,5500
2016-4-6,Farm 2,3382
2016-4-7,Farm 0,6409
2016-4-7,Farm 1,5688
2016-4-7,Farm 2,7469
2016-4-8,Farm 0,4117
2016-4-8,Farm 1,5799
2016-4-8,Farm 2,6405
2016-4-9,Farm 0,7351
2016-4-9,Farm 1,5137
2016-4-9,Farm 2,7433
2016-4-10,Farm 0,3491
2016-4-10,Farm 1,8734
2016-4-10,Farm 2,4583
2016-4-11,Farm 0,8658
2016-4-11,Farm 1,7419
2016-4-11,Farm 2,3802
2016-4-12,Farm 0,3087
2016-4-12,Farm 1,4604
2016-4-12,Farm 2,4711
2016-4-13,Farm 0,8696
2016-4-13,Farm 1,7096
2016-4-13,Farm 2,5879
2016-4-14,Farm 0,4199
2016-4-14,Farm 1,6793
2016-4-14,Farm 2,6484
2016-4-15,Farm 0,5618
2016-4-15,Farm 1,6975
2016-4-15,Farm 2,5601
2016-4-16,Farm 0,4277
2016-4-16,Farm 1,4908
2016-4-16,Farm 2,6312
2016-4-17,Farm 0,4237
2016-4-17,Farm 1,6216
2016-4-17,Farm 2,5076
2016-4-18,Farm 0,6740
2016-4-18,Farm 1,6957
2016-4-18,Farm 2,8869
2016-4-19,Farm 0,7165
2016-4-19,Farm 1,3240
2016-4-19,Farm 2,5572
2016-4-20,Farm 0,3665
2016-4-20,Farm 1,8829
2016-4-20,Farm 2,6610
2016-4-21,Farm 0,4448
2016-4-21,Farm 1,4038
2016-4-21,Farm 2,8487
2016-4-22,Farm 0,6025
2016-4-22,Farm 1,8205
2016-4-22,Farm 2,8347
2016-4-23,Farm 0,6573
2016-4-23,Farm 1,3610
2016-4-23,Farm 2,7983
2016-4-24,Farm 0,4100
2016-4-24,Farm 1,8875
2016-4-24,Farm 2,6754
2016-4-25,Farm 0,3290
2016-4-25,Farm 1,7007
2016-4-25,Farm 2,8728
2016-4-26,Farm 0,4894
2016-4-26,Farm 1,5248
2016-4-26,Farm 2,5219
2016-4-27,Farm 0,5341
2016-4-27,Farm 1,3807
2016-4-27,Farm 2,5885
2016-4-28,Farm 0,7755
2016-4-28,Farm 1,5775
2016-4-28,Farm 2,8790
2016-4-29,Farm 0,7096
2016-4-29,Farm 1,7771
2016-4-29,Farm 2,4416
2016-4-30,Farm 0,4954
2016-4-30,Farm 1,4940
2016-4-30,Farm 2,4611
