date,farm_id,weight
2017-6-1,Farm 18,7833
2017-6-1,Farm 19,17434
2017-6-1,Farm 20,5149
2017-6-1,Farm 21,14699
2017-6-1,Farm 22,10669
2017-6-1,Farm 23,12379
2017-6-1,Farm 25,17035
2017-6-1,Farm 26,16686
2017-6-1,Farm 27,14051
2017-6-1,Farm 28,17913
2017-6-1,Farm 30,16518
2017-6-1,Farm 31,13442
2017-6-1,Farm 32,4403
2017-6-1,Farm 33,11575
2017-6-1,Farm 34,3928
2017-6-1,Farm 35,3038
2017-6-1,Farm 37,15136
2017-6-1,Farm 38,15721
2017-6-1,Farm 39,9902
2017-6-1,Farm 40,7892
2017-6-1,Farm 41,3130
2017-6-1,Farm 42,14461
2017-6-1,Farm 43,11922
2017-6-1,Farm 45,9321
2017-6-1,Farm 46,15022
2017-6-1,Farm 47,10030
2017-6-1,Farm 48,5916
2017-6-1,Farm 50,17234
2017-6-1,Farm 51,10563
2017-6-1,Farm 52,15562
2017-6-1,Farm 53,7255
2017-6-1,Farm 54,13127
2017-6-1,Farm 55,11306
2017-6-1,Farm 57,14812
2017-6-1,Farm 58,11125
2017-6-1,Farm 59,6287
2017-6-1,Farm 60,17109
2017-6-1,Farm 61,10426
2017-6-1,Farm 62,7728
2017-6-1,Farm 63,5949
2017-6-1,Farm 64,8508
2017-6-1,Farm 65,14173
2017-6-1,Farm 67,3612
2017-6-1,Farm 68,12476
2017-6-1,Farm 69,14010
2017-6-1,Farm 70,16230
2017-6-1,Farm 71,9892
2017-6-1,Farm 72,16971
2017-6-1,Farm 73,15657
2017-6-1,Farm 74,6360
2017-6-1,Farm 75,8926
2017-6-1,Farm 76,12947
2017-6-1,Farm 77,6299
2017-6-1,Farm 78,11291
2017-6-1,Farm 80,5557
2017-6-1,Farm 81,12825
2017-6-1,Farm 82,3759
2017-6-1,Farm 83,14100
2017-6-1,Farm 84,10288
2017-6-1,Farm 85,10776
2017-6-1,Farm 86,2903
2017-6-1,Farm 89,8600
2017-6-1,Farm 90,11957
2017-6-1,Farm 91,14655
2017-6-1,Farm 92,12338
2017-6-1,Farm 93,11021
2017-6-1,Farm 94,8714
2017-6-1,Farm 97,13241
2017-6-1,Farm 98,12440
2017-6-1,Farm 99,8441
2017-6-1,Farm 100,13125
2017-6-1,Farm 101,6066
2017-6-1,Farm 102,11132
2017-6-1,Farm 103,2635
2017-6-1,Farm 104,15377
2017-6-1,Farm 106,10609
2017-6-1,Farm 107,15495
2017-6-1,Farm 109,10528
2017-6-1,Farm 110,5362
2017-6-1,Farm 111,17893
2017-6-1,Farm 112,10955
2017-6-1,Farm 115,17123
2017-6-1,Farm 116,12374
2017-6-1,Farm 117,11184
2017-6-2,Farm 18,8082
2017-6-2,Farm 19,9230
2017-6-2,Farm 20,17131
2017-6-2,Farm 21,16553
2017-6-2,Farm 22,15606
2017-6-2,Farm 23,10672
2017-6-2,Farm 24,12953
2017-6-2,Farm 25,12541
2017-6-2,Farm 26,3187
2017-6-2,Farm 27,3539
2017-6-2,Farm 28,14649
2017-6-2,Farm 29,12258
2017-6-2,Farm 30,9552
2017-6-2,Farm 31,9992
2017-6-2,Farm 32,16970
2017-6-2,Farm 33,16823
2017-6-2,Farm 34,6638
2017-6-2,Farm 35,16126
2017-6-2,Farm 36,17569
2017-6-2,Farm 37,8228
2017-6-2,Farm 38,12893
2017-6-2,Farm 39,3722
2017-6-2,Farm 40,6758
2017-6-2,Farm 41,17918
2017-6-2,Farm 42,2997
2017-6-2,Farm 43,3854
2017-6-2,Farm 44,2960
2017-6-2,Farm 45,3950
2017-6-2,Farm 46,5517
2017-6-2,Farm 47,5429
2017-6-2,Farm 48,3353
2017-6-2,Farm 49,10627
2017-6-2,Farm 50,7688
2017-6-2,Farm 51,6517
2017-6-2,Farm 52,11536
2017-6-2,Farm 53,7726
2017-6-2,Farm 54,16207
2017-6-2,Farm 55,12944
2017-6-2,Farm 56,12634
2017-6-2,Farm 57,6977
2017-6-2,Farm 58,17010
2017-6-2,Farm 59,14139
2017-6-2,Farm 60,5896
2017-6-2,Farm 61,16279
2017-6-2,Farm 62,10873
2017-6-2,Farm 63,8115
2017-6-2,Farm 64,17972
2017-6-2,Farm 65,8054
2017-6-2,Farm 66,4362
2017-6-2,Farm 67,16769
2017-6-2,Farm 68,11111
2017-6-2,Farm 69,10507
2017-6-2,Farm 70,8218
2017-6-2,Farm 71,13197
2017-6-2,Farm 72,11355
2017-6-2,Farm 73,4648
2017-6-2,Farm 74,16556
2017-6-2,Farm 75,11500
2017-6-2,Farm 76,15991
2017-6-2,Farm 77,15336
2017-6-2,Farm 78,17174
2017-6-2,Farm 79,4749
2017-6-2,Farm 80,16358
2017-6-2,Farm 81,10187
2017-6-2,Farm 82,16725
2017-6-2,Farm 83,3599
2017-6-2,Farm 84,4720
2017-6-2,Farm 85,14922
2017-6-2,Farm 86,12363
2017-6-2,Farm 87,11599
2017-6-2,Farm 88,5542
2017-6-2,Farm 89,16022
2017-6-2,Farm 90,10941
2017-6-2,Farm 91,4049
2017-6-2,Farm 92,3786
2017-6-2,Farm 93,13280
2017-6-2,Farm 94,10793
2017-6-2,Farm 95,11995
2017-6-2,Farm 96,13405
2017-6-2,Farm 97,2612
2017-6-2,Farm 98,12711
2017-6-2,Farm 99,2199
2017-6-2,Farm 100,2844
2017-6-2,Farm 101,17916
2017-6-2,Farm 102,8976
2017-6-2,Farm 103,5341
2017-6-2,Farm 104,14369
2017-6-2,Farm 105,8425
2017-6-2,Farm 106,11585
2017-6-2,Farm 107,3312
2017-6-2,Farm 108,12350
2017-6-2,Farm 109,6737
2017-6-2,Farm 110,9572
2017-6-2,Farm 111,12556
2017-6-2,Farm 112,11771
2017-6-2,Farm 113,5217
2017-6-2,Farm 114,5876
2017-6-2,Farm 115,12014
2017-6-2,Farm 116,6471
2017-6-2,Farm 117,17476
2017-6-3,Farm 18,16585
2017-6-3,Farm 19,11023
2017-6-3,Farm 20,5974
2017-6-3,Farm 21,16178
2017-6-3,Farm 22,11766
2017-6-3,Farm 23,15552
2017-6-3,Farm 25,6287
2017-6-3,Farm 26,14533
2017-6-3,Farm 27,13957
2017-6-3,Farm 28,16274
2017-6-3,Farm 30,16360
2017-6-3,Farm 31,10911
2017-6-3,Farm 32,12156
2017-6-3,Farm 33,3010
2017-6-3,Farm 34,9272
2017-6-3,Farm 35,15444
2017-6-3,Farm 37,6974
2017-6-3,Farm 38,3830
2017-6-3,Farm 39,9608
2017-6-3,Farm 40,5237
2017-6-3,Farm 41,6366
2017-6-3,Farm 42,9667
2017-6-3,Farm 43,16100
2017-6-3,Farm 45,4700
2017-6-3,Farm 46,2365
2017-6-3,Farm 47,6706
2017-6-3,Farm 48,10248
2017-6-3,Farm 50,2143
2017-6-3,Farm 51,14722
2017-6-3,Farm 52,6677
2017-6-3,Farm 53,10290
2017-6-3,Farm 54,3733
2017-6-3,Farm 55,16809
2017-6-3,Farm 57,6001
2017-6-3,Farm 58,7324
2017-6-3,Farm 59,5583
2017-6-3,Farm 60,6325
2017-6-3,Farm 61,15419
2017-6-3,Farm 62,9755
2017-6-3,Farm 63,2425
2017-6-3,Farm 64,16335
2017-6-3,Farm 65,7253
2017-6-3,Farm 67,13626
2017-6-3,Farm 68,6573
2017-6-3,Farm 69,5206
2017-6-3,Farm 70,10197
2017-6-3,Farm 71,7942
2017-6-3,Farm 72,14493
2017-6-3,Farm 73,9105
2017-6-3,Farm 74,5034
2017-6-3,Farm 75,17657
2017-6-3,Farm 76,13106
2017-6-3,Farm 77,6841
2017-6-3,Farm 78,13015
2017-6-3,Farm 80,10221
2017-6-3,Farm 81,11339
2017-6-3,Farm 82,3570
2017-6-3,Farm 83,3231
2017-6-3,Farm 84,6307
2017-6-3,Farm 85,14464
2017-6-3,Farm 86,14335
2017-6-3,Farm 89,2020
2017-6-3,Farm 90,4544
2017-6-3,Farm 91,6939
2017-6-3,Farm 92,14076
2017-6-3,Farm 93,11959
2017-6-3,Farm 94,4820
2017-6-3,Farm 97,13468
2017-6-3,Farm 98,9107
2017-6-3,Farm 99,13061
2017-6-3,Farm 100,6381
2017-6-3,Farm 101,15525
2017-6-3,Farm 102,3306
2017-6-3,Farm 103,2630
2017-6-3,Farm 104,15593
2017-6-3,Farm 106,5891
2017-6-3,Farm 107,14837
2017-6-3,Farm 109,9263
2017-6-3,Farm 110,17793
2017-6-3,Farm 111,17877
2017-6-3,Farm 112,4449
2017-6-3,Farm 115,5938
2017-6-3,Farm 116,4628
2017-6-3,Farm 117,3177
2017-6-4,Farm 18,9212
2017-6-4,Farm 19,5346
2017-6-4,Farm 20,12953
2017-6-4,Farm 21,13833
2017-6-4,Farm 22,10089
2017-6-4,Farm 23,15953
2017-6-4,Farm 24,16914
2017-6-4,Farm 25,6470
2017-6-4,Farm 26,13788
2017-6-4,Farm 27,7503
2017-6-4,Farm 28,12703
2017-6-4,Farm 29,6119
2017-6-4,Farm 30,4167
2017-6-4,Farm 31,4787
2017-6-4,Farm 32,14472
2017-6-4,Farm 33,9413
2017-6-4,Farm 34,6577
2017-6-4,Farm 35,7742
2017-6-4,Farm 36,15053
2017-6-4,Farm 37,4518
2017-6-4,Farm 38,15052
2017-6-4,Farm 39,17249
2017-6-4,Farm 40,15012
2017-6-4,Farm 41,15910
2017-6-4,Farm 42,8407
2017-6-4,Farm 43,9383
2017-6-4,Farm 44,3605
2017-6-4,Farm 45,15439
2017-6-4,Farm 46,4304
2017-6-4,Farm 47,13609
2017-6-4,Farm 48,6560
2017-6-4,Farm 49,8460
2017-6-4,Farm 50,17651
2017-6-4,Farm 51,15739
2017-6-4,Farm 52,16794
2017-6-4,Farm 53,7872
2017-6-4,Farm 54,7843
2017-6-4,Farm 55,8778
2017-6-4,Farm 56,2509
2017-6-4,Farm 57,7798
2017-6-4,Farm 58,6527
2017-6-4,Farm 59,12449
2017-6-4,Farm 60,9309
2017-6-4,Farm 61,16004
2017-6-4,Farm 62,13460
2017-6-4,Farm 63,9514
2017-6-4,Farm 64,7866
2017-6-4,Farm 65,16891
2017-6-4,Farm 66,5660
2017-6-4,Farm 67,9179
2017-6-4,Farm 68,2114
2017-6-4,Farm 69,9410
2017-6-4,Farm 70,14055
2017-6-4,Farm 71,10021
2017-6-4,Farm 72,16453
2017-6-4,Farm 73,12943
2017-6-4,Farm 74,5390
2017-6-4,Farm 75,14476
2017-6-4,Farm 76,2367
2017-6-4,Farm 77,15731
2017-6-4,Farm 78,10709
2017-6-4,Farm 79,11895
2017-6-4,Farm 80,10313
2017-6-4,Farm 81,14708
2017-6-4,Farm 82,6023
2017-6-4,Farm 83,6779
2017-6-4,Farm 84,15469
2017-6-4,Farm 85,5164
2017-6-4,Farm 86,11530
2017-6-4,Farm 87,2895
2017-6-4,Farm 88,13104
2017-6-4,Farm 89,15270
2017-6-4,Farm 90,7225
2017-6-4,Farm 91,5749
2017-6-4,Farm 92,10588
2017-6-4,Farm 93,17013
2017-6-4,Farm 94,10643
2017-6-4,Farm 95,16597
2017-6-4,Farm 96,14885
2017-6-4,Farm 97,14097
2017-6-4,Farm 98,11362
2017-6-4,Farm 99,5256
2017-6-4,Farm 100,7439
2017-6-4,Farm 101,5983
2017-6-4,Farm 102,4764
2017-6-4,Farm 103,2132
2017-6-4,Farm 104,6549
2017-6-4,Farm 105,12342
2017-6-4,Farm 106,4424
2017-6-4,Farm 107,14120
2017-6-4,Farm 108,13933
2017-6-4,Farm 109,4016
2017-6-4,Farm 110,4270
2017-6-4,Farm 111,12744
2017-6-4,Farm 112,9569
2017-6-4,Farm 113,3321
2017-6-4,Farm 114,7542
2017-6-4,Farm 115,13823
2017-6-4,Farm 116,8887
2017-6-4,Farm 117,14068
2017-6-5,Farm 18,2421
2017-6-5,Farm 19,16407
2017-6-5,Farm 20,5642
2017-6-5,Farm 21,11712
2017-6-5,Farm 22,8600
2017-6-5,Farm 23,3128
2017-6-5,Farm 25,13162
2017-6-5,Farm 26,3251
2017-6-5,Farm 27,17437
2017-6-5,Farm 28,7335
2017-6-5,Farm 30,4703
2017-6-5,Farm 31,2415
2017-6-5,Farm 32,8682
2017-6-5,Farm 33,10643
2017-6-5,Farm 34,4669
2017-6-5,Farm 35,10729
2017-6-5,Farm 37,9687
2017-6-5,Farm 38,9195
2017-6-5,Farm 39,10100
2017-6-5,Farm 40,14191
2017-6-5,Farm 41,15739
2017-6-5,Farm 42,5321
2017-6-5,Farm 43,8552
2017-6-5,Farm 45,10095
2017-6-5,Farm 46,13725
2017-6-5,Farm 47,9176
2017-6-5,Farm 48,9619
2017-6-5,Farm 50,2155
2017-6-5,Farm 51,10124
2017-6-5,Farm 52,16120
2017-6-5,Farm 53,17096
2017-6-5,Farm 54,4508
2017-6-5,Farm 55,9196
2017-6-5,Farm 57,11942
2017-6-5,Farm 58,16735
2017-6-5,Farm 59,4705
2017-6-5,Farm 60,9871
2017-6-5,Farm 61,3530
2017-6-5,Farm 62,13530
2017-6-5,Farm 63,17880
2017-6-5,Farm 64,3365
2017-6-5,Farm 65,14638
2017-6-5,Farm 67,2872
2017-6-5,Farm 68,8546
2017-6-5,Farm 69,12263
2017-6-5,Farm 70,14407
2017-6-5,Farm 71,15058
2017-6-5,Farm 72,2539
2017-6-5,Farm 73,14338
2017-6-5,Farm 74,4333
2017-6-5,Farm 75,15216
2017-6-5,Farm 76,2067
2017-6-5,Farm 77,16679
2017-6-5,Farm 78,17504
2017-6-5,Farm 80,8935
2017-6-5,Farm 81,11674
2017-6-5,Farm 82,11167
2017-6-5,Farm 83,8085
2017-6-5,Farm 84,12835
2017-6-5,Farm 85,12794
2017-6-5,Farm 86,10550
2017-6-5,Farm 89,5389
2017-6-5,Farm 90,8902
2017-6-5,Farm 91,11912
2017-6-5,Farm 92,15263
2017-6-5,Farm 93,8665
2017-6-5,Farm 94,12401
2017-6-5,Farm 97,16329
2017-6-5,Farm 98,6855
2017-6-5,Farm 99,2771
2017-6-5,Farm 100,6010
2017-6-5,Farm 101,8396
2017-6-5,Farm 102,10799
2017-6-5,Farm 103,12648
2017-6-5,Farm 104,15199
2017-6-5,Farm 106,9025
2017-6-5,Farm 107,8162
2017-6-5,Farm 109,7535
2017-6-5,Farm 110,10500
2017-6-5,Farm 111,3953
2017-6-5,Farm 112,15276
2017-6-5,Farm 115,14068
2017-6-5,Farm 116,11305
2017-6-5,Farm 117,3043
2017-6-6,Farm 18,7538
2017-6-6,Farm 19,3252
2017-6-6,Farm 20,15075
2017-6-6,Farm 21,4158
2017-6-6,Farm 22,4915
2017-6-6,Farm 23,8817
2017-6-6,Farm 24,10974
2017-6-6,Farm 25,7171
2017-6-6,Farm 26,13061
2017-6-6,Farm 27,11964
2017-6-6,Farm 28,9096
2017-6-6,Farm 29,15077
2017-6-6,Farm 30,7818
2017-6-6,Farm 31,17536
2017-6-6,Farm 32,5478
2017-6-6,Farm 33,17261
2017-6-6,Farm 34,15729
2017-6-6,Farm 35,16802
2017-6-6,Farm 36,15423
2017-6-6,Farm 37,5933
2017-6-6,Farm 38,11839
2017-6-6,Farm 39,3611
2017-6-6,Farm 40,8296
2017-6-6,Farm 41,12087
2017-6-6,Farm 42,9423
2017-6-6,Farm 43,17380
2017-6-6,Farm 44,16602
2017-6-6,Farm 45,15313
2017-6-6,Farm 46,3292
2017-6-6,Farm 47,10504
2017-6-6,Farm 48,11333
2017-6-6,Farm 49,13633
2017-6-6,Farm 50,3788
2017-6-6,Farm 51,10076
2017-6-6,Farm 52,11175
2017-6-6,Farm 53,7333
2017-6-6,Farm 54,15250
2017-6-6,Farm 55,3624
2017-6-6,Farm 56,16624
2017-6-6,Farm 57,6564
2017-6-6,Farm 58,11916
2017-6-6,Farm 59,4416
2017-6-6,Farm 60,11180
2017-6-6,Farm 61,10276
2017-6-6,Farm 62,2779
2017-6-6,Farm 63,7388
2017-6-6,Farm 64,14072
2017-6-6,Farm 65,2486
2017-6-6,Farm 66,13111
2017-6-6,Farm 67,16592
2017-6-6,Farm 68,6488
2017-6-6,Farm 69,10160
2017-6-6,Farm 70,10354
2017-6-6,Farm 71,9369
2017-6-6,Farm 72,6232
2017-6-6,Farm 73,12914
2017-6-6,Farm 74,8674
2017-6-6,Farm 75,5674
2017-6-6,Farm 76,4803
2017-6-6,Farm 77,14505
2017-6-6,Farm 78,14747
2017-6-6,Farm 79,10099
2017-6-6,Farm 80,9527
2017-6-6,Farm 81,10467
2017-6-6,Farm 82,17917
2017-6-6,Farm 83,14474
2017-6-6,Farm 84,15037
2017-6-6,Farm 85,3418
2017-6-6,Farm 86,16894
2017-6-6,Farm 87,8561
2017-6-6,Farm 88,10146
2017-6-6,Farm 89,4229
2017-6-6,Farm 90,7319
2017-6-6,Farm 91,7279
2017-6-6,Farm 92,10470
2017-6-6,Farm 93,13520
2017-6-6,Farm 94,14602
2017-6-6,Farm 95,10579
2017-6-6,Farm 96,16707
2017-6-6,Farm 97,15295
2017-6-6,Farm 98,13591
2017-6-6,Farm 99,6025
2017-6-6,Farm 100,8523
2017-6-6,Farm 101,14909
2017-6-6,Farm 102,12157
2017-6-6,Farm 103,5286
2017-6-6,Farm 104,3288
2017-6-6,Farm 105,14636
2017-6-6,Farm 106,5449
2017-6-6,Farm 107,7841
2017-6-6,Farm 108,4617
2017-6-6,Farm 109,9660
2017-6-6,Farm 110,5875
2017-6-6,Farm 111,11214
2017-6-6,Farm 112,9574
2017-6-6,Farm 113,10087
2017-6-6,Farm 114,2587
2017-6-6,Farm 115,17086
2017-6-6,Farm 116,15096
2017-6-6,Farm 117,2074
2017-6-7,Farm 18,4936
2017-6-7,Farm 19,14960
2017-6-7,Farm 20,9639
2017-6-7,Farm 21,14918
2017-6-7,Farm 22,11241
2017-6-7,Farm 23,9030
2017-6-7,Farm 25,6295
2017-6-7,Farm 26,6042
2017-6-7,Farm 27,6564
2017-6-7,Farm 28,17586
2017-6-7,Farm 30,16927
2017-6-7,Farm 31,9925
2017-6-7,Farm 32,10788
2017-6-7,Farm 33,3846
2017-6-7,Farm 34,6249
2017-6-7,Farm 35,10544
2017-6-7,Farm 37,6976
2017-6-7,Farm 38,10773
2017-6-7,Farm 39,12840
2017-6-7,Farm 40,16705
2017-6-7,Farm 41,2976
2017-6-7,Farm 42,15324
2017-6-7,Farm 43,8674
2017-6-7,Farm 45,17173
2017-6-7,Farm 46,8263
2017-6-7,Farm 47,9729
2017-6-7,Farm 48,13065
2017-6-7,Farm 50,11194
2017-6-7,Farm 51,9899
2017-6-7,Farm 52,10327
2017-6-7,Farm 53,13943
2017-6-7,Farm 54,5530
2017-6-7,Farm 55,17756
2017-6-7,Farm 57,15086
2017-6-7,Farm 58,7456
2017-6-7,Farm 59,9814
