date,fa-m_id,weight
2017/10/1,-,2101
2017/10/1,Fa-m 124,2681
2017/10/2,Fa-m 123,2919
2017/10/2,Fa-m 124,2446
2017/10/2,Fa-m 125,2825
2017/10/3,Fa-m 123,2063
2017/10/3,Fa-m 124,2280
2017/10/4,Fa-m 123,2276
2017/10/4,Fa-m 124,2193
2017/10/4,Fa-m 125,2997
2017/10/5,Fa-m 123,2337
2017/10/5,Fa-m 124,2919
2017/10/6,Fa-m 123,2336
-,Fa-m 124,2324
2017/10/6,Fa-m 125,2587
-,Fa-m 123,2289
2017/10/7,Fa-m 124,2803
2017/10/8,Fa-m 123,2180
2017/10/8,Fa-m 124,2425
2017/10/8,Fa-m 125,2018
2017/10/9,Fa-m 123,2795
2017/10/9,Fa-m 124,2189
2017/10/10,Fa-m 123,2843
2017/10/10,Fa-m 124,2235
2017/10/10,Fa-m 125,2480
2017/10/11,Fa-m 123,2524
2017/10/11,Fa-m 124,2754
2017/10/12,Fa-m 123,2112
2017/10/12,Fa-m 124,2468
2017/10/12,Fa-m 125,2474
2017/10/13,Fa-m 123,2957
2017/10/13,Fa-m 124,2288
2017/10/14,Fa-m 123,2480
2017/10/14,Fa-m 124,2806
2017/10/14,Fa-m 125,2550
2017/10/15,Fa-m 123,2396
2017/10/15,Fa-m 124,2351
2017/10/16,Fa-m 123,2771
2017/10/16,Fa-m 124,2846
2017/10/16,Fa-m 125,2332
2017/10/17,Fa-m 123,2267
2017/10/17,Fa-m 124,2598
2017/10/18,Fa-m 123,2854
2017/10/18,Fa-m 124,2229
2017/10/18,Fa-m 125,2080
2017/10/19,Fa-m 123,2143
2017/10/19,Fa-m 124,2259
2017/10/20,Fa-m 123,2193
2017/10/20,Fa-m 124,-
2017/10/20,Fa-m 125,2664
-,Fa-m 123,2542
2017/10/21,Fa-m 124,2297
2017/10/22,Fa-m 123,2137
2017/10/22,Fa-m 124,2871
2017/10/22,Fa-m 125,2172
2017/10/23,Fa-m 123,2346
2017/10/23,Fa-m 124,-
2017/10/24,Fa-m 123,2183
2017/10/24,Fa-m 124,-
2017/10/24,Fa-m 125,2084
2017/10/25,Fa-m 123,2441
-,Fa-m 124,2075
2017/10/26,Fa-m 123,2759
2017/10/26,Fa-m 124,2037
2017/10/26,Fa-m 125,2669
2017/10/27,Fa-m 123,2797
2017/10/27,Fa-m 124,2523
2017/10/28,Fa-m 123,2255
2017/10/28,Fa-m 124,2090
2017/10/28,-,2408
2017/10/29,Fa-m 123,2831
2017/10/29,Fa-m 124,2692
2017/10/30,Fa-m 123,2032
2017/10/30,Fa-m 124,2018
2017/10/30,Fa-m 125,2198
2017/10/31,Fa-m 123,2051
2017/10/31,Fa-m 124,2182
