date,farm_id,weight
S1RGVH,Farm 118,11511
2021-10-1,Farm 119,15426
2021-10-1,Farm 120,3881
2021-10-1,Farm 121,8609
2021-10-1,Farm 122,WGVVB7
2021-10-2,8TX1QV,3802
L57Z0C,Farm 119,9982
2021-10-2,Farm 120,KI9CA4
2021-10-2,Farm 121,11374
2021-10-2,Farm 122,4729
2021-10-3,Farm 118,INN747
2021-10-3,Farm 119,3462
2021-10-3,Farm 120,12207
2021-10-3,Farm 121,4229
2021-10-3,Farm 122,6249
U8XT6D,Farm 118,6221
2021-10-4,Farm 119,12881
2021-10-4,S5IH0R,12634
GXIZCC,Farm 121,4258
2021-10-4,Farm 122,13795
2021-10-5,Farm 118,E23CMW
2021-10-5,Farm 119,11444
2021-10-5,Farm 120,16948
2021-10-5,Farm 121,4823
2021-10-5,Farm 122,8174
2021-10-6,Farm 118,16308
2021-10-6,Farm 119,3189
2021-10-6,Farm 120,7921
2021-10-6,Farm 121,4193
2021-10-6,Farm 122,10139
2021-10-7,Farm 118,11972
2021-10-7,Farm 119,4558
2021-10-7,Farm 120,5246
2021-10-7,Farm 121,2823
2021-10-7,Farm 122,15557
2021-10-8,Farm 118,2705
2021-10-8,Farm 119,15369
2021-10-8,Farm 120,16176
2021-10-8,Farm 121,6181
2021-10-8,Farm 122,11823
2021-10-9,Farm 118,7749
2021-10-9,Farm 119,HJYTVO
2021-10-9,Farm 120,10615
2021-10-9,Farm 121,U0H4MO
2021-10-9,Farm 122,5550
2021-10-10,Farm 118,2159
2021-10-10,Farm 119,4411
2021-10-10,Farm 120,JCSCO8
2021-10-10,Farm 121,14727
2021-10-10,Farm 122,14931
2021-10-11,Farm 118,13950
2021-10-11,Farm 119,10744
2021-10-11,Farm 120,8RL9C9
2021-10-11,Farm 121,10819
2021-10-11,Farm 122,17647
2021-10-12,Farm 118,15162
2021-10-12,SUFUD6,9320
2021-10-12,Farm 120,17686
2021-10-12,Farm 121,3799
2021-10-12,Farm 122,16464
2021-10-13,Farm 118,EEGCGD
2021-10-13,Farm 119,10982
2021-10-13,Farm 120,12740
O96F8J,Farm 121,12250
2021-10-13,Farm 122,3795
2021-10-14,Farm 118,3121
2021-10-14,Farm 119,9969
2021-10-14,24T05G,2778
2021-10-14,Farm 121,9622
2021-10-14,Farm 122,6967
2021-10-15,Farm 118,8561
2021-10-15,Farm 119,9469
2021-10-15,Farm 120,16311
2021-10-15,Farm 121,14872
2021-10-15,Farm 122,9576
2021-10-16,Farm 118,4879
2021-10-16,Farm 119,8718
I0STB2,Farm 120,10176
2021-10-16,Farm 121,7443
2021-10-16,Farm 122,16847
2021-10-17,Farm 118,5016
2021-10-17,Farm 119,12438
2021-10-17,Farm 120,12642
2021-10-17,Farm 121,3272
2021-10-17,Farm 122,5656
2021-10-18,1ZZOZJ,7339
2021-10-18,Farm 119,5961
2021-10-18,Farm 120,17890
2021-10-18,Farm 121,GD82GU
2021-10-18,Farm 122,7WIQLC
K7SQ04,Farm 118,6511
2021-10-19,Farm 119,15365
2021-10-19,Farm 120,12577
2021-10-19,Farm 121,10824
2021-10-19,Farm 122,13187
2021-10-20,Farm 118,15119
2021-10-20,Farm 119,15494
2021-10-20,Farm 120,3101
2021-10-20,Farm 121,0S3KNB
2021-10-20,Farm 122,9222
2021-10-21,Farm 118,15725
2021-10-21,Farm 119,3046
2021-10-21,Farm 120,13289
2021-10-21,Farm 121,12649
2021-10-21,Farm 122,4945
2021-10-22,Farm 118,15056
2021-10-22,Farm 119,16522
2021-10-22,Farm 120,RS3T86
2021-10-22,Farm 121,2292
2021-10-22,Farm 122,5946
2021-10-23,Farm 118,13469
2021-10-23,Farm 119,5702
2021-10-23,Farm 120,13168
2021-10-23,Farm 121,13622
2021-10-23,Farm 122,3433
M4QMZ7,Farm 118,14367
2021-10-24,Farm 119,10158
2021-10-24,Farm 120,6880
2021-10-24,Farm 121,7948
2021-10-24,Farm 122,4064
2021-10-25,Farm 118,2587
2021-10-25,Farm 119,10863
2021-10-25,Farm 120,10369
2021-10-25,Farm 121,8139
2021-10-25,Farm 122,7799
2021-10-26,Farm 118,9867
2021-10-26,Farm 119,PTHSXD
2021-10-26,Farm 120,17476
2021-10-26,Farm 121,8250
2021-10-26,Farm 122,9535
2021-10-27,Farm 118,16476
2021-10-27,Farm 119,6832
2021-10-27,Farm 120,3932
2021-10-27,Farm 121,8554
2021-10-27,Farm 122,16395
2021-10-28,Farm 118,12639
2021-10-28,Farm 119,13321
2021-10-28,Farm 120,6263
2021-10-28,Farm 121,6366
2021-10-28,Farm 122,3874
2021-10-29,Farm 118,10992
2021-10-29,Farm 119,12391
2021-10-29,Farm 120,15173
2021-10-29,Farm 121,10110
2021-10-29,Farm 122,4402
2021-10-30,Farm 118,10488
82LU95,Farm 119,17277
2021-10-30,Farm 120,16212
2021-10-30,Farm 121,14732
2021-10-30,Farm 122,CMKBQS
2021-10-31,Farm 118,3833
2021-10-31,Farm 119,6753
2021-10-31,Farm 120,12692
2021-10-31,Farm 121,4845
2021-10-31,Farm 122,11697
