date,farm_id,weight
2021-5-1,Farm 123,2592
2021-5-1,Farm 124,2098
2021-5-2,Farm 123,-
2021-5-2,Farm 124,2148
2021-5-2,Farm 125,2985
2021-5-3,Farm 123,-
2021-5-3,Farm 124,2487
2021-5-4,Farm 123,2503
-,Farm 124,2751
-,Farm 125,2604
2021-5-5,Farm 123,2746
2021-5-5,Farm 124,2658
-,Farm 123,2944
2021-5-6,Farm 124,2128
-,Farm 125,2561
2021-5-7,Farm 123,2089
2021-5-7,Farm 124,2780
2021-5-8,-,2618
-,Farm 124,2941
2021-5-8,Farm 125,2826
2021-5-9,Farm 123,2976
2021-5-9,Farm 124,2923
2021-5-10,Farm 123,2051
2021-5-10,Farm 124,2583
2021-5-10,Farm 125,2642
2021-5-11,Farm 123,2825
2021-5-11,Farm 124,2793
2021-5-12,Farm 123,2012
2021-5-12,Farm 124,2968
2021-5-12,Farm 125,2620
-,Farm 123,2314
2021-5-13,Farm 124,2707
2021-5-14,Farm 123,2928
2021-5-14,Farm 124,2809
2021-5-14,Farm 125,2081
2021-5-15,Farm 123,2072
2021-5-15,Farm 124,2305
2021-5-16,Farm 123,2553
-,Farm 124,2081
-,Farm 125,2759
2021-5-17,Farm 123,2887
-,Farm 124,2837
2021-5-18,Farm 123,2255
2021-5-18,Farm 124,2451
2021-5-18,Farm 125,2394
-,Farm 123,2575
2021-5-19,Farm 124,-
2021-5-20,Farm 123,2472
2021-5-20,Farm 124,2485
2021-5-20,-,2365
2021-5-21,Farm 123,2372
2021-5-21,Farm 124,2860
2021-5-22,-,2735
2021-5-22,Farm 124,2615
2021-5-22,Farm 125,2133
2021-5-23,Farm 123,2415
2021-5-23,Farm 124,2736
2021-5-24,Farm 123,2328
2021-5-24,Farm 124,2588
2021-5-24,Farm 125,2530
2021-5-25,Farm 123,2812
2021-5-25,Farm 124,2937
2021-5-26,Farm 123,2151
2021-5-26,Farm 124,2991
2021-5-26,Farm 125,2516
2021-5-27,Farm 123,2976
2021-5-27,-,2028
2021-5-28,Farm 123,2672
2021-5-28,Farm 124,2327
2021-5-28,-,2189
2021-5-29,-,2161
2021-5-29,Farm 124,2665
2021-5-30,Farm 123,2669
2021-5-30,Farm 124,2384
2021-5-30,Farm 125,2484
2021-5-31,Farm 123,2404
2021-5-31,Farm 124,2544
